Density,Treatment,day
10000,CHA,1
10138.88889,CHA,2
10555.55556,CHA,3
10694.44444,CHA,4
11805.55556,CHA,5
13055.55556,CHA,6
15000,CHA,7
10000,CH,1
21666.66667,CH,2
16250,CH,3
31805.55556,CH,4
26527.77778,CH,5
35277.77778,CH,6
31250,CH,7
10000,HA,1
9027.777778,HA,2
9027.777778,HA,3
18055.55556,HA,4
19722.22222,HA,5
26111.11111,HA,6
19027.77778,HA,7
10000,H,1
22083.33333,H,2
18194.44444,H,3
16805.55556,H,4
26111.11111,H,5
22916.66667,H,6
13333.33333,H,7
10000,LA,1
11805.55556,LA,2
8194.444444,LA,3
18055.55556,LA,4
20416.66667,LA,5
25277.77778,LA,6
27500,LA,7
10000,L,1
19722.22222,L,2
15000,L,3
33333.33333,L,4
19861.11111,L,5
19583.33333,L,6
11250,L,7
10000,C,1
18750,C,2
16666.66667,C,3
29444.44444,C,4
27222.22222,C,5
32083.33333,C,6
40972.22222,C,7
10000,PM,1
17916.66667,PM,2
14583.33333,PM,3
18333.33333,PM,4
23750,PM,5
29027.77778,PM,6
16388.88889,PM,7
