Date,Ex.Day,Day,U.M,MU.M,ML.M,L.M,U.SD,MU.SD,ML.SD,L.SD
23-Jul,7,1,6875,6458.33335,6111.1111,8819.444425,4504.084786,1982.108738,1742.119235,4924.193862
24-Jul,8,2,2986.111125,3263.8889,9027.77775,16666.66665,1142.496512,1805.555528,7080.155439,11802.55952
25-Jul,9,3,39189.8148,94583.33335,182604.1667,235208.3333,30828.50175,161443.5427,189460.7824,127066.9388
26-Jul,10,4,20347.22225,70430.55555,170738.0953,287104.1667,15627.10889,104567.7993,98510.44257,101274.1826
27-Jul,11,5,19513.8889,58472.2222,213474.359,218694.6387,7861.242009,88323.57854,35158.16616,24053.52144
28-Jul,12,6,20972.22223,64791.66668,196875,207897.7273,22299.05697,68680.75448,43897.89814,44737.84194
29-Jul,13,7,14166.66668,48472.2222,156145.8333,146428.5714,7800.891576,28890.22432,15816.42003,34142.17699
30-Jul,14,8,10694.44445,35740.74073,75166.66668,77141.20373,6955.546711,11268.17993,29859.37549,21190.7737
31-Jul,15,9,6388.888875,32222.22223,61388.88893,55069.44443,4175.915636,21489.06314,18351.5622,6278.740513
1-Aug,16,10,5694.44445,17708.33333,36319.44445,38333.33335,3465.734693,2350.192602,15321.27647,11704.08464
