Rep.,Treat,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
1,Upper,4166.6667,2777.7778,3333.3333,5555.5556,8333.3333,4166.6667,5277.7778,4722.2222,3611.1111,6388.8889
2,Upper,5000,4444.4444,64814.8148,23055.5556,23055.5556,16111.1111,10000,7222.2222,7222.2222,2500
3,Upper,13611.1111,3055.5556,65000,41111.1111,26388.8889,53611.1111,21388.8889,20555.5556,2777.7778,10277.7778
4,Upper,4722.2222,1666.6667,23611.1111,11666.6667,20277.7778,10000,20000,10277.7778,11944.4444,3611.1111
1,UpperMid,5555.5556,2500,8055.5556,9444.4444,12222.2222,23888.8889,32777.7778,23611.1111,10555.5556,19722.2222
2,UpperMid,8611.1111,5833.3333,336666.6667,227000,190833.3333,160833.3333,89444.4444,35833.3333,53611.1111,15277.7778
3,UpperMid,7500,1666.6667,17777.7778,21666.6667,19722.2222,66666.6667,47222.2222,32777.7778,17222.2222,16111.1111
4,UpperMid,4166.6667,3055.5556,15833.3333,23611.1111,11111.1111,7777.7778,24444.4444,50740.7407,47500,19722.2222
1,LowerMid,4722.2222,4444.4444,50000,55555.5556,237000,150000,173333.3333,56388.8889,43055.5556,30555.5556
2,LowerMid,6666.6667,1944.4444,43888.8889,131111.1111,201666.6667,230000,151250,48611.1111,86666.6667,31111.1111
3,LowerMid,8333.3333,17222.2222,448750,282000,246000,238333.3333,163333.3333,115000,60277.7778,58888.8889
4,LowerMid,4722.2222,12500,187777.7778,214285.7143,169230.7692,169166.6667,136666.6667,80666.6667,55555.5556,24722.2222
1,Lower,6944.4444,7222.2222,265833.3333,318000,225000,207500,142222.2222,60277.7778,62500,32777.7778
2,Lower,6944.4444,32222.2222,287500,342500,242727.2727,229090.9091,155714.2857,61481.4815,56111.1111,29722.2222
3,Lower,5277.7778,7777.7778,50000,136666.6667,185384.6154,249166.6667,185000,105416.6667,54444.4444,35277.7778
4,Lower,16111.1111,19444.4444,337500,351250,221666.6667,145833.3333,102777.7778,81388.8889,47222.2222,55555.5556
