Date,Day,core,AmtC,AmtC,AmtC,AmtC,æm C/30ml,æm C/30ml,æm C/30ml,æm C/30ml,Avg.,STD,minus STD,plus STD
7/24/2013,24,Upper,2.2,2.8,3.6,2.9,0.003053,0.003885,0.004996,0.004024,0.003989,0.000796,0.003193,0.004786
7/26/2013,26,Upper,2.2,2.7,3.5,4,0.003053,0.003747,0.004857,0.005551,0.004302,0.001116,0.003186,0.005418
7/28/2013,28,Upper,2.9,2.8,2.4,2.6,0.004024,0.003885,0.003330,0.003608,0.003712,0.000308,0.003404,0.004020
7/30/2013,30,Upper,2.3,2.6,1.9,3.7,0.003192,0.003608,0.002637,0.005134,0.003643,0.001071,0.002571,0.004714
7/31/2013,31,Upper,1.9,2.1,2.7,2.3,0.002637,0.002914,0.003747,0.003192,0.003122,0.000474,0.002648,0.003596
7/24/2013,24,Mid Upper,3.3,3.8,2.5,3.3,0.004579,0.005273,0.003469,0.004579,0.004475,0.000746,0.003729,0.005221
7/26/2013,26,Mid Upper,2.6,5.7,3.3,2.9,0.003608,0.007910,0.004579,0.004024,0.005030,0.001960,0.003070,0.006991
7/28/2013,28,Mid Upper,5,3.4,3.4,2.9,0.006938,0.004718,0.004718,0.004024,0.005100,0.001269,0.003831,0.006368
7/30/2013,30,Mid Upper,1.8,3.4,3.1,2.6,0.002498,0.004718,0.004302,0.003608,0.003781,0.000971,0.002811,0.004752
7/31/2013,31,Mid Upper,2.1,3.2,2.3,3.5,0.002914,0.004440,0.003192,0.004857,0.003851,0.000944,0.002907,0.004794
7/24/2013,24,Mid Lower,4,3.4,4.3,3.4,0.005551,0.004718,0.005967,0.004718,0.005238,0.000624,0.004614,0.005863
7/26/2013,26,Mid Lower,3.5,2.9,7.1,4.4,0.004857,0.004024,0.009852,0.006106,0.006210,0.002575,0.003635,0.008784
7/28/2013,28,Mid Lower,3.4,4,4.5,3.6,0.004718,0.005551,0.006244,0.004996,0.005377,0.000674,0.004703,0.006051
7/30/2013,30,Mid Lower,2.9,3.4,1.3,2.6,0.004024,0.004718,0.001804,0.003608,0.003539,0.001244,0.002295,0.004782
7/31/2013,31,Mid Lower,2.1,2.5,2.2,2.6,0.002914,0.003469,0.003053,0.003608,0.003261,0.000330,0.002931,0.003591
7/24/2013,24,Lower,2.8,3.5,3,4,0.003885,0.004857,0.004163,0.005551,0.004614,0.000746,0.003868,0.005360
7/26/2013,26,Lower,5.1,4.5,3.4,4.9,0.007077,0.006244,0.004718,0.006799,0.006210,0.001053,0.005157,0.007263
7/28/2013,28,Lower,4.3,4.2,4.3,4,0.005967,0.005828,0.005967,0.005551,0.005828,0.000196,0.005632,0.006024
7/30/2013,30,Lower,3.2,3.4,3,2.9,0.004440,0.004718,0.004163,0.004024,0.004336,0.000308,0.004029,0.004644
7/31/2013,31,Lower,2.5,2.1,1.7,2.5,0.003469,0.002914,0.002359,0.003469,0.003053,0.000531,0.002521,0.003584
