"","Month","Day","core","d15N","AmtN","d13C","AmtC"
"1","July",24,1,NA,NA,-26.5,2.2
"2","July",24,10,-4.9,0.6,-28.5,4.3
"3","July",24,11,-6.4,0.2,-27.2,2.5
"4","July",24,12,-5.4,0.4,-28.4,3.6
"5","July",24,13,-3.9,0.3,-26.9,2.9
"6","July",24,14,-11.4,0.3,-25.8,3.3
"7","July",24,15,-17,0.3,-26.7,3.4
"8","July",24,16,-8.8,0.5,-28.2,4
"9","July",24,2,-1.3,0.3,-26.9,3.3
"10","July",24,3,-3.7,0.4,-27.3,4
"11","July",24,4,-8.6,0.3,-26.1,2.8
"12","July",24,5,-2.1,0.3,-26.8,2.8
"13","July",24,6,-5.4,0.5,-29.2,3.8
"14","July",24,7,-3.5,0.3,-26.6,3.4
"15","July",24,8,-13.5,0.4,-27.8,3.5
"16","July",24,9,-0.5,0.3,-26.8,3
"17","July",26,1,-1.3,0.3,-26.3,2.2
"18","July",26,10,-5.2,0.5,-30.1,7.1
"19","July",26,11,-3.3,0.2,-26.7,3.3
"20","July",26,12,-1.4,0.3,-27,3.5
"21","July",26,13,0.8,0.2,-25.7,4
"22","July",26,14,-21.4,0.2,-25.8,2.9
"23","July",26,15,-2.8,0.4,-29,4.4
"24","July",26,16,-8,0.5,-30,4.9
"25","July",26,2,-1.9,0.3,-27.4,2.6
"26","July",26,3,-0.2,0.3,-27.4,3.5
"27","July",26,4,-5.3,0.6,-30.6,5.1
"28","July",26,5,NA,NA,-26.5,2.7
"29","July",26,6,-6.8,0.4,-30,5.7
"30","July",26,7,-4.6,0.3,-29.1,2.9
"31","July",26,8,-3.4,0.4,-31.3,4.5
"32","July",26,9,-0.1,0.3,-27.4,3.4
"33","July",28,1,1.6,0.2,-25.7,2.9
"34","July",28,10,-1.2,0.4,-30.3,4.5
"35","July",28,11,-1.5,0.3,-27,3.4
"36","July",28,12,0.3,0.2,-26.6,2.4
"37","July",28,13,NA,NA,-71.9,2.6
"38","July",28,14,0.9,0.2,-25.7,2.9
"39","July",28,15,0.9,0.3,-29.5,3.6
"40","July",28,16,-4.3,0.3,-58.2,4
"41","July",28,2,0,0.3,-26.3,5
"42","July",28,2,-5.3,0.3,-26.7,2.1
"43","July",28,3,-1,0.3,-30,3.4
"44","July",28,4,-1.3,0.3,-30.3,4.3
"45","July",28,5,-26.8,0.2,-25,2.8
"46","July",28,6,0.4,0.3,-28.7,3.4
"47","July",28,7,-3.4,0.3,-28,4
"48","July",28,8,-0.4,0.3,-29.1,4.2
"49","July",28,9,-2.8,0.4,-29.4,4.3
"50","July",30,1,NA,NA,-25.8,2.3
"51","July",30,10,NA,NA,-26.3,1.3
"52","July",30,11,-0.7,0.3,-27.6,3.1
"53","July",30,12,NA,NA,-26.7,1.9
"54","July",30,13,1.8,0.3,-26.8,3.7
"55","July",30,14,-2.6,0.3,-27.2,2.6
"56","July",30,15,2.3,0.2,-28.4,2.6
"57","July",30,16,24.1,0.3,-28.3,2.9
"58","July",30,2,NA,NA,-29,1.8
"59","July",30,3,-1.3,0.2,-28.9,2.9
"60","July",30,4,-0.1,0.2,-29.6,3.2
"61","July",30,5,-0.6,0.2,-25.6,2.6
"62","July",30,6,0.7,0.2,-28.5,3.4
"63","July",30,7,-0.6,0.2,-28.1,3.4
"64","July",30,8,1,0.3,-29.2,3.4
"65","July",30,9,0.9,0.3,-29.1,3
"66","July",31,1,6.8,0.2,-27.5,1.9
"67","July",31,10,-3,0.3,-27.4,2.2
"68","July",31,11,-16.1,0.2,-28.7,2.3
"69","July",31,12,-2.2,0.4,-26.7,2.7
"70","July",31,13,-0.4,0.3,-28.1,2.3
"71","July",31,14,-0.4,0.4,-27.4,3.5
"72","July",31,15,-3,0.3,-27,2.6
"73","July",31,16,-4,0.4,-26.1,2.5
"74","July",31,2,-7.8,0.2,-25.7,2.1
"75","July",31,3,-3.8,0.3,-26.2,2.1
"76","July",31,4,-4,0.3,-26.1,2.5
"77","July",31,5,-0.8,0.3,-27.1,2.1
"78","July",31,6,-1.1,0.3,-28.9,3.2
"79","July",31,7,-6.1,0.2,-28.2,2.5
"80","July",31,9,NA,NA,-27.7,1.7
